"","class","reference","method","size","set","precision","recall","f1","accuracy"
"1","Cytotoxic T cell","PBMC10x","CellID",3090,0,0.84375,0.0230473751600512,0.0448691316992106,0.0230473751600512
"2","Cytotoxic T cell","PBMC10x","Seurat",3090,0,0.7180877279448,0.621852326077678,0.66651418115279,0.621852326077678
"3","Cytotoxic T cell","PBMC10x","SingleCellNet",3090,0,0.854166666666667,0.507469056764831,0.636680053547523,0.507469056764831
"4","Cytotoxic T cell","PBMC10x","SingleR",3090,0,0.958283671036949,0.34314980793854,0.50534255185418,0.34314980793854
"5","Cytotoxic T cell","PBMC10x","ItClust",3090,0,0.211412535079514,0.0964575330772514,0.132473622508792,0.0964575330772514
"6","CD4+ T cell","PBMC10x","CellID",3090,0,1,0.000332005312084993,0.000663790242283438,0.000332005312084993
"7","CD4+ T cell","PBMC10x","Seurat",3090,0,0.812678288431062,0.851261620185923,0.831522620398897,0.851261620185923
"8","CD4+ T cell","PBMC10x","SingleCellNet",3090,0,0.720550739418664,0.938247011952191,0.815113931352755,0.938247011952191
"9","CD4+ T cell","PBMC10x","SingleR",3090,0,0.699158832261257,0.938247011952191,0.801247519138078,0.938247011952191
"10","CD4+ T cell","PBMC10x","ItClust",3090,0,0.278591352859135,0.26527224435591,0.271768707482993,0.26527224435591
"11","Natural killer cell","PBMC10x","CellID",3090,0,NA,0,NA,0
"12","Natural killer cell","PBMC10x","Seurat",3090,0,0.773426573426573,0.740294511378849,0.756497948016416,0.740294511378849
"13","Natural killer cell","PBMC10x","SingleCellNet",3090,0,0.916521739130435,0.705488621151272,0.797276853252647,0.705488621151272
"14","Natural killer cell","PBMC10x","SingleR",3090,0,0.726681127982646,0.896921017402945,0.802875973636908,0.896921017402945
"15","Natural killer cell","PBMC10x","ItClust",3090,0,0.0843373493975904,0.0187416331994645,0.0306681270536692,0.0187416331994645
"16","CD14+ monocyte","PBMC10x","CellID",3090,0,NA,0,NA,0
"17","CD14+ monocyte","PBMC10x","Seurat",3090,0,0.800975609756098,0.936679977181974,0.863528793058112,0.936679977181974
"18","CD14+ monocyte","PBMC10x","SingleCellNet",3090,0,0.900410076157001,0.876782658300057,0.888439306358382,0.876782658300057
"19","CD14+ monocyte","PBMC10x","SingleR",3090,0,0.975285171102662,0.292641186537365,0.450197455024133,0.292641186537365
"20","CD14+ monocyte","PBMC10x","ItClust",3090,0,0.114570737605804,0.216200798630918,0.149772772179411,0.216200798630918
"21","B cell","PBMC10x","CellID",3090,0,1,0.00954478707782672,0.0189090909090909,0.00954478707782672
"22","B cell","PBMC10x","Seurat",3090,0,0.976628352490421,0.93575624082232,0.95575553055868,0.93575624082232
"23","B cell","PBMC10x","SingleCellNet",3090,0,0.931590257879656,0.954845814977974,0.943074691805656,0.954845814977974
"24","B cell","PBMC10x","SingleR",3090,0,0.959236136614029,0.958883994126285,0.959060033045713,0.958883994126285
"25","B cell","PBMC10x","ItClust",3090,0,0.247356495468278,0.240455212922173,0.24385703648548,0.240455212922173
"26","Dendritic cell","PBMC10x","CellID",3090,0,0.0372759856630824,0.464285714285714,0.0690112806901128,0.464285714285714
"27","Dendritic cell","PBMC10x","Seurat",3090,0,0.833333333333333,0.334821428571429,0.477707006369427,0.334821428571429
"28","Dendritic cell","PBMC10x","SingleCellNet",3090,0,0.615384615384615,0.607142857142857,0.61123595505618,0.607142857142857
"29","Dendritic cell","PBMC10x","SingleR",3090,0,0.149830508474576,0.986607142857143,0.26015303119482,0.986607142857143
"30","Dendritic cell","PBMC10x","ItClust",3090,0,0.0138888888888889,0.00446428571428571,0.00675675675675676,0.00446428571428571
"31","Megakaryocyte","PBMC10x","CellID",3090,0,0.00871839581517001,0.958904109589041,0.0172796840286349,0.958904109589041
"32","Megakaryocyte","PBMC10x","Seurat",3090,0,0.855072463768116,0.808219178082192,0.830985915492958,0.808219178082192
"33","Megakaryocyte","PBMC10x","SingleCellNet",3090,0,0.828947368421053,0.863013698630137,0.845637583892617,0.863013698630137
"34","Megakaryocyte","PBMC10x","SingleR",3090,0,0.875,0.671232876712329,0.75968992248062,0.671232876712329
"35","Megakaryocyte","PBMC10x","ItClust",3090,0,0,0,NA,0
"36","CD16+ monocyte","PBMC10x","CellID",3090,0,NA,0,NA,0
"37","CD16+ monocyte","PBMC10x","Seurat",3090,0,0.924657534246575,0.551020408163265,0.690537084398977,0.551020408163265
"38","CD16+ monocyte","PBMC10x","SingleCellNet",3090,0,0.919354838709677,0.697959183673469,0.793503480278422,0.697959183673469
"39","CD16+ monocyte","PBMC10x","SingleR",3090,0,0.81981981981982,0.742857142857143,0.779443254817987,0.742857142857143
"40","CD16+ monocyte","PBMC10x","ItClust",3090,0,0.0330188679245283,0.0571428571428571,0.0418535127055306,0.0571428571428571
"41","Plasmacytoid dendritic cell","PBMC10x","CellID",3090,0,NA,0,NA,0
"42","Plasmacytoid dendritic cell","PBMC10x","Seurat",3090,0,0.91304347826087,0.67741935483871,0.777777777777778,0.67741935483871
"43","Plasmacytoid dendritic cell","PBMC10x","SingleCellNet",3090,0,0.974358974358974,0.612903225806452,0.752475247524752,0.612903225806452
"44","Plasmacytoid dendritic cell","PBMC10x","SingleR",3090,0,0.514285714285714,0.870967741935484,0.646706586826347,0.870967741935484
"45","Plasmacytoid dendritic cell","PBMC10x","ItClust",3090,0,0.00366300366300366,0.0161290322580645,0.00597014925373134,0.0161290322580645
